Order Date,Ship Date,QB Num,P. O. #,Name,Qty(-),Qty(+),Item,Inventory Site,Remark
4/12/2024,1/9/2025,SO-20240438,PO204048,Noah Medical U.S.,6,0,Nuvo-8108GC-QD-A6,WH01X-NTA,
9/20/2024,5/2/2025,POD-241091,SO-20241054,Neousys Technology Incorp.,0,40,Nuvo-7505D-i5HCG9-Tek02-100,WH01X-NTA,SO24090351
9/20/2024,5/16/2025,POD-241092,SO-20241055,Neousys Technology Incorp.,0,40,Nuvo-7505D-i5HCG9-Tek02-100,WH01X-NTA,SO24090352
9/20/2024,4/18/2025,POD-241090,SO-20241053,Neousys Technology Incorp.,0,40,Nuvo-7505D-i5HCG9-Tek02-100,WH01X-NTA,SO24090350
9/20/2024,4/1/2025,POD-241089,SO-20241052,Neousys Technology Incorp.,0,40,Nuvo-7505D-i5HCG9-Tek02-100,WH01X-NTA,SO24090349
9/20/2024,3/7/2025,POD-241087,SO-20241050,Neousys Technology Incorp.,0,40,Nuvo-7505D-i5HCG9-Tek02-100,WH01X-NTA,SO24090347
9/20/2024,3/21/2025,POD-241088,SO-20241051,Neousys Technology Incorp.,0,40,Nuvo-7505D-i5HCG9-Tek02-100,WH01X-NTA,SO24090348
9/20/2024,2/4/2025,POD-241085,SO-20241048,Neousys Technology Incorp.,0,40,Nuvo-7505D-i5HCG9-Tek02-100,WH01X-NTA,SO24090345
9/20/2024,2/21/2025,POD-241086,SO-20241049,Neousys Technology Incorp.,0,40,Nuvo-7505D-i5HCG9-Tek02-100,WH01X-NTA,SO24090346
9/20/2024,1/23/2025,POD-241084,SO-20241047,Neousys Technology Incorp.,0,30,Nuvo-7505D-i5HCG9-Tek02-100,WH01X-NTA,SO24090344
9/20/2024,1/10/2025,POD-241083,SO-20241046,Neousys Technology Incorp.,0,40,Nuvo-7505D-i5HCG9-Tek02-100,WH01X-NTA,SO24090343
9/20/2024,5/2/2025,POD-241091,SO-20241054,Neousys Technology Incorp.,0,40,Nuvo-7505D,WH01X-NTA,SO24090351
9/20/2024,5/16/2025,POD-241092,SO-20241055,Neousys Technology Incorp.,0,40,Nuvo-7505D,WH01X-NTA,SO24090352
9/20/2024,4/18/2025,POD-241090,SO-20241053,Neousys Technology Incorp.,0,40,Nuvo-7505D,WH01X-NTA,SO24090350
9/20/2024,4/1/2025,POD-241089,SO-20241052,Neousys Technology Incorp.,0,40,Nuvo-7505D,WH01X-NTA,SO24090349
9/20/2024,3/7/2025,POD-241087,SO-20241050,Neousys Technology Incorp.,0,40,Nuvo-7505D,WH01X-NTA,SO24090347
9/20/2024,3/21/2025,POD-241088,SO-20241051,Neousys Technology Incorp.,0,40,Nuvo-7505D,WH01X-NTA,SO24090348
9/20/2024,2/4/2025,POD-241085,SO-20241048,Neousys Technology Incorp.,0,40,Nuvo-7505D,WH01X-NTA,SO24090345
9/20/2024,2/21/2025,POD-241086,SO-20241049,Neousys Technology Incorp.,0,40,Nuvo-7505D,WH01X-NTA,SO24090346
9/20/2024,1/23/2025,POD-241084,SO-20241047,Neousys Technology Incorp.,0,30,Nuvo-7505D,WH01X-NTA,SO24090344
9/20/2024,1/10/2025,POD-241083,SO-20241046,Neousys Technology Incorp.,0,40,Nuvo-7505D,WH01X-NTA,SO24090343
9/19/2024,5/26/2025,SO-20241055,15069,Tek84 Inc.,40,0,Nuvo-7505D,WH01X-NTA,
9/19/2024,5/12/2025,SO-20241054,15069,Tek84 Inc.,40,0,Nuvo-7505D,WH01X-NTA,
9/19/2024,4/28/2025,SO-20241053,15069,Tek84 Inc.,40,0,Nuvo-7505D,WH01X-NTA,
9/19/2024,4/9/2025,SO-20241052,15069,Tek84 Inc.,40,0,Nuvo-7505D,WH01X-NTA,
9/19/2024,3/31/2025,SO-20241051,15069,Tek84 Inc.,40,0,Nuvo-7505D,WH01X-NTA,
9/19/2024,3/17/2025,SO-20241050,15069,Tek84 Inc.,40,0,Nuvo-7505D,WH01X-NTA,
9/19/2024,3/3/2025,SO-20241049,15069,Tek84 Inc.,40,0,Nuvo-7505D,WH01X-NTA,
9/19/2024,2/14/2025,SO-20241048,15069,Tek84 Inc.,40,0,Nuvo-7505D,WH01X-NTA,
9/19/2024,1/31/2025,SO-20241047,15069,Tek84 Inc.,30,0,Nuvo-7505D,WH01X-NTA,
9/19/2024,1/20/2025,SO-20241046,15069,Tek84 Inc.,40,0,Nuvo-7505D,WH01X-NTA,
9/5/2024,1/10/2025,SO-20240975,9080091097,"Keysight Technologies, Inc.",18,0,MezIO-KS1,WH01X-NTA,
9/5/2024,1/10/2025,SO-20240975,9080091097,"Keysight Technologies, Inc.",18,0,M.280-SSD-512GB-SATA-TLC5-PN,WH01X-NTA,
9/27/2024,1/10/2025,SO-20241112,9080094927,"Keysight Technologies, Inc.",19,0,M.280-SSD-512GB-SATA-TLC5-PN,WH01X-NTA,
9/20/2024,5/2/2025,POD-241091,SO-20241054,Neousys Technology Incorp.,0,40,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,SO24090351
9/20/2024,5/16/2025,POD-241092,SO-20241055,Neousys Technology Incorp.,0,40,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,SO24090352
9/20/2024,4/18/2025,POD-241090,SO-20241053,Neousys Technology Incorp.,0,40,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,SO24090350
9/20/2024,4/1/2025,POD-241089,SO-20241052,Neousys Technology Incorp.,0,40,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,SO24090349
9/20/2024,3/7/2025,POD-241087,SO-20241050,Neousys Technology Incorp.,0,40,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,SO24090347
9/20/2024,3/21/2025,POD-241088,SO-20241051,Neousys Technology Incorp.,0,40,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,SO24090348
9/20/2024,2/4/2025,POD-241085,SO-20241048,Neousys Technology Incorp.,0,40,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,SO24090345
9/20/2024,2/21/2025,POD-241086,SO-20241049,Neousys Technology Incorp.,0,40,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,SO24090346
9/20/2024,1/23/2025,POD-241084,SO-20241047,Neousys Technology Incorp.,0,30,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,SO24090344
9/20/2024,1/10/2025,POD-241083,SO-20241046,Neousys Technology Incorp.,0,40,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,SO24090343
9/19/2024,5/26/2025,SO-20241055,15069,Tek84 Inc.,40,0,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,
9/19/2024,5/12/2025,SO-20241054,15069,Tek84 Inc.,40,0,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,
9/19/2024,4/28/2025,SO-20241053,15069,Tek84 Inc.,40,0,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,
9/19/2024,4/9/2025,SO-20241052,15069,Tek84 Inc.,40,0,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,
9/19/2024,3/31/2025,SO-20241051,15069,Tek84 Inc.,40,0,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,
9/19/2024,3/17/2025,SO-20241050,15069,Tek84 Inc.,40,0,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,
9/19/2024,3/3/2025,SO-20241049,15069,Tek84 Inc.,40,0,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,
9/19/2024,2/14/2025,SO-20241048,15069,Tek84 Inc.,40,0,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,
9/19/2024,1/31/2025,SO-20241047,15069,Tek84 Inc.,30,0,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,
9/19/2024,1/20/2025,SO-20241046,15069,Tek84 Inc.,40,0,M.280-SSD-256GB-SATA-TLC-IK,WH01X-NTA,
3/14/2024,2/27/2025,POD-240380,SO-20240315,Neousys Technology Incorp.,0,100,M.280-SSD-1TB-PCIe4-TLCWT-IK1,WH01X-NTA,SO24030230
3/14/2024,2/14/2025,POD-240379,SO-20240314,Neousys Technology Incorp.,0,150,M.280-SSD-1TB-PCIe4-TLCWT-IK1,WH01X-NTA,SO24030229
3/13/2024,8/29/2025,SO-20240315,X110992,Xanthon LLC,100,0,M.280-SSD-1TB-PCIe4-TLCWT-IK1,WH01X-NTA,
3/13/2024,7/25/2025,SO-20240314,X110992,Xanthon LLC,150,0,M.280-SSD-1TB-PCIe4-TLCWT-IK1,WH01X-NTA,
3/13/2024,6/27/2025,SO-20240313,X110992,Xanthon LLC,150,0,M.280-SSD-1TB-PCIe4-TLCWT-IK1,WH01X-NTA,
3/13/2024,5/30/2025,SO-20240312,X110992,Xanthon LLC,150,0,M.280-SSD-1TB-PCIe4-TLCWT-IK1,WH01X-NTA,
3/13/2024,4/25/2025,SO-20240311,X110992,Xanthon LLC,150,0,M.280-SSD-1TB-PCIe4-TLCWT-IK1,WH01X-NTA,
3/6/2024,3/28/2025,SO-20240258,X110992,Xanthon LLC,150,0,M.280-SSD-1TB-PCIe4-TLCWT-IK1,WH01X-NTA,
8/20/2024,3/31/2025,SO-20240922,PO055573,"FireFly Automatix, Inc.",8,0,M.280-SSD-1TB-PCIe4-TLC-IK1,WH01X-NTA,
6/10/2024,2/28/2025,SO-20240675,PO055573,"FireFly Automatix, Inc.",10,0,M.280-SSD-1TB-PCIe4-TLC-IK1,WH01X-NTA,
6/10/2024,1/31/2025,SO-20240674,PO055573,"FireFly Automatix, Inc.",10,0,M.280-SSD-1TB-PCIe4-TLC-IK1,WH01X-NTA,
6/4/2024,3/28/2025,SO-20240654,QTD_EPS_2406281,Professional Parking Management Corporati,10,0,M.280-SSD-128GB-PCIe4-TLCWT-IK1,WH01X-NTA,
4/12/2024,1/9/2025,SO-20240438,PO204048,Noah Medical U.S.,6,0,GC-RTXA4500-PNY,WH01X-NTA,
11/27/2024,2/14/2025,SO-20241418,41441969,Inficon Inc.,45,0,G6900TE,WH01X-NTA,
11/27/2024,1/17/2025,SO-20241417,41441969,Inficon Inc.,45,0,G6900TE,WH01X-NTA,
6/11/2024,1/7/2025,POD-240687,SO-20240673,Neousys Technology Incorp.,0,1,"FORWARDING CHARGE, EXCLUDING IMPORT DUTY.",WH01X-NTA,SO24060117
9/20/2024,1/10/2025,POD-241083,SO-20241046,Neousys Technology Incorp.,0,1,"FORWARDING CHARGE, EXCLUDING IMPORT DUTY.",WH01X-NTA,SO24090343
4/12/2024,1/9/2025,SO-20240438,PO204048,Noah Medical U.S.,6,0,Extnd-mPCIeHS,WH01X-NTA,
11/15/2023,1/10/2025,POD-231075,SO-20231096,Neousys Technology Incorp.,0,6,E-2278GE,WH01X-NTA,SO23110265
4/12/2024,1/9/2025,SO-20240438,PO204048,Noah Medical U.S.,6,0,E-2278GE,WH01X-NTA,
4/8/2024,3/28/2025,SO-20240408,ING-24-0316,"Ingineerix, LLC",10,0,DINRAIL-31,WH01X-NTA,
5/31/2024,3/28/2025,SO-20240637,ING Neousys JUN-AUG,"Ingineerix, LLC",10,0,DINRAIL-31,WH01X-NTA,
5/31/2024,3/28/2025,SO-20240638,ING Neousys JUN-AUG,"Ingineerix, LLC",10,0,DINRAIL-31,WH01X-NTA,
6/4/2024,3/28/2025,SO-20240654,QTD_EPS_2406281,Professional Parking Management Corporati,10,0,DDR5-8GB-WT48-IK,WH01X-NTA,
11/11/2024,1/3/2025,SO-20241334,41451090,Inficon Inc.,100,0,DDR5-8GB-48-SM,WH01X-NTA,
3/14/2024,2/27/2025,POD-240380,SO-20240315,Neousys Technology Incorp.,0,100,DDR5-16GB-WT48-IK,WH01X-NTA,SO24030230
3/14/2024,2/14/2025,POD-240379,SO-20240314,Neousys Technology Incorp.,0,150,DDR5-16GB-WT48-IK,WH01X-NTA,SO24030229
3/13/2024,8/29/2025,SO-20240315,X110992,Xanthon LLC,100,0,DDR5-16GB-WT48-IK,WH01X-NTA,
3/13/2024,7/25/2025,SO-20240314,X110992,Xanthon LLC,150,0,DDR5-16GB-WT48-IK,WH01X-NTA,
3/13/2024,6/27/2025,SO-20240313,X110992,Xanthon LLC,150,0,DDR5-16GB-WT48-IK,WH01X-NTA,
3/13/2024,5/30/2025,SO-20240312,X110992,Xanthon LLC,150,0,DDR5-16GB-WT48-IK,WH01X-NTA,
3/13/2024,4/25/2025,SO-20240311,X110992,Xanthon LLC,150,0,DDR5-16GB-WT48-IK,WH01X-NTA,
3/6/2024,3/28/2025,SO-20240258,X110992,Xanthon LLC,150,0,DDR5-16GB-WT48-IK,WH01X-NTA,
