,"Date","Num","Name","Source Name","Memo","Deliv Date","Qty","Rcv'd","Backordered","Amount","Open Balance"
"Inventory",,,,,,,,,,,
"Accessory",,,,,,,,,,,
,"08/19/2025","POD-251184","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-M12A5F-OT2-Black-Red-Fuse-100CM  M12(5-pole-A-code Female) to 2P O terminal, w/FUSE, Length:...","09/24/2025",20,0,20,240.00,240.00
"Total Cbl-M12A5F-OT2-B-Red-Fuse-100CM",,,,,,,125,0,125,1500.00,1500.00
"Cbl-M12A8M-2U2TA-180CM2",,,,,,,,,,,
,"09/01/2025","POD-251251","US Army Corps of Engineers, ERDC-IEI","Neousys Technology Incorp.","Cbl-M12A8M-2U2TA-180CM2  Waterproof M12 (8-pole-A-coded) w/ copper shielding to 2xUSB 2.0 type A...","09/17/2025",4,0,4,40.00,40.00
"Total Cbl-M12A8M-2U2TA-180CM2",,,,,,,4,0,4,40.00,40.00
"Cbl-M12A8M-DB9F-180CM",,,,,,,,,,,
,"08/14/2025","POD-251157","Near Earth Autonomy","Neousys Technology Incorp.","Cbl-M12A8M-DB9F-180CM  M12 A-Code 8P (male) to DB9 (female), Length: 180CM. Industrial computer ...","09/03/2025",1,0,1,15.00,15.00
,"08/21/2025","POD-251191","Near Earth Autonomy",,"Cbl-M12A8M-DB9F-180CM  M12 A-Code 8P (male) to DB9 (female), Length: 180CM. Industrial computer ...","09/10/2025",2,0,2,30.00,30.00
"Total Cbl-M12A8M-DB9F-180CM",,,,,,,3,0,3,45.00,45.00
"Cbl-M12A8M-DB9M-180CM",,,,,,,,,,,
,"08/14/2025","POD-251157","Near Earth Autonomy","Neousys Technology Incorp.","Cbl-M12A8M-DB9M-180CM  M12 A-Code 8P (male) to DB9 (male), Length: 180CM. Industrial computer ac...","09/03/2025",2,0,2,24.00,24.00
,"08/21/2025","POD-251191","Near Earth Autonomy",,"Cbl-M12A8M-DB9M-180CM  M12 A-Code 8P (male) to DB9 (male), Length: 180CM. Industrial computer ac...","09/10/2025",4,0,4,48.00,48.00
"Total Cbl-M12A8M-DB9M-180CM",,,,,,,6,0,6,72.00,72.00
"Cbl-M12L5F-CordEnd5-180CM",,,,,,,,,,,
,"09/01/2025","POD-251251","US Army Corps of Engineers, ERDC-IEI","Neousys Technology Incorp.","Cbl-M12L5F-CordEnd5-180CM  M12 L-Code 5P(FML) to Cord End Terminal 5P, Length: 1.8M.","09/17/2025",4,0,4,40.00,40.00
"Total Cbl-M12L5F-CordEnd5-180CM",,,,,,,4,0,4,40.00,40.00
"Cbl-M12S4F-OW4-180CM1",,,,,,,,,,,
,"05/05/2025","POD-250647","FireFly Automatix, Inc.","Neousys Technology Incorp.","Cbl-M12S4F-OW4-180CM1  Cable 180cm, M12 S-Code Female 4P to Open Wire 4P","09/03/2025",10,0,10,100.00,100.00
,"05/05/2025","POD-250648","FireFly Automatix, Inc.","Neousys Technology Incorp.","Cbl-M12S4F-OW4-180CM1  Cable 180cm, M12 S-Code Female 4P to Open Wire 4P","10/01/2025",10,0,10,100.00,100.00
