,"Type","Date","Ship Date","Deliv Date","Terms","Due Date","Num","P. O. #","Name","Qty","Invoiced","Backordered","Amount","Item","Rep","Open Balance","Inventory Site"
"Inventory",,,,,,,,,,,,,,,,,
"Accessory",,,,,,,,,,,,,,,,,
,"Sales Order","08/01/2025","10/01/2025",,"Prepay","08/01/2025","SO-20251095","PO5343","Dexterity, Inc.",2,0,2,12.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",12.00,"WH01S-NTA"
,"Sales Order","08/15/2025","12/31/2025",,"Prepay","08/15/2025","SO-20251167","PO5382","Dexterity, Inc.",2,0,2,12.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",12.00,"WH01S-NTA"
,"Sales Order","08/18/2025","10/08/2025",,"Net 60","10/17/2025","SO-20251169","612452","Uber Technologies, Inc.",40,0,40,240.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",240.00,"WH01S-NTA"
,"Sales Order","08/19/2025","10/17/2025",,"Net 60","10/18/2025","SO-20251175","612452","Uber Technologies, Inc.",40,0,40,240.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",240.00,"WH01S-NTA"
,"Sales Order","08/19/2025","12/31/2025",,"Net 60","10/18/2025","SO-20251176","612452","Uber Technologies, Inc.",40,0,40,240.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",240.00,"WH01S-NTA"
,"Sales Order","08/19/2025","12/31/2025",,"Net 60","10/18/2025","SO-20251177","612452","Uber Technologies, Inc.",40,0,40,240.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",240.00,"WH01S-NTA"
,"Sales Order","08/19/2025","12/31/2025",,"Net 60","10/18/2025","SO-20251179","612452","Uber Technologies, Inc.",40,0,40,240.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",240.00,"WH01S-NTA"
,"Sales Order","08/19/2025","12/31/2025",,"Net 60","10/18/2025","SO-20251178","612452","Uber Technologies, Inc.",50,0,50,300.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",300.00,"WH01S-NTA"
,"Sales Order","08/22/2025","10/15/2025",,"Net 30","09/21/2025","SO-20251197","1034004374","FEV North America Inc.",2,0,2,16.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A702",16.00,"WH01S-NTA"
,"Sales Order","08/27/2025","09/26/2025",,"Prepay","08/27/2025","SO-20251223","25003767","HERZOG SERVICES, INC.",4,0,4,24.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A689",24.00,"WH01S-NTA"
